AUDIT TRAIL — 20260306 095020 Kiwoito Africa Safaris Sto
Generated : 2026-03-06 09:50:27.738085
==========================================================================================

[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 130 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 133 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 136 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 139 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 142 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 145 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 148 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 151 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 154 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 157 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 160 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] EXTRACTED  | module_11                 | output_csv             | Extracted from source

==========================================================================================

── Audit Summary ──────────────────────
  EXTRACTED     : 67
  GUESSED       : 2
  INFO          : 3
  WARNING       : 54
